Genus	Subfamily
Acromyrmex	Myrmicinae
Aenictus	Dorylinae
Apterostigma	Myrmicinae
Atta	Myrmicinae
Azteca	Dolichoderinae
Brachymyrmex	Formicinae
Camponotus	Formicinae
Cephalotes	Myrmicinae
Cheliomyrmex	Dorylinae
Colobopsis	Formicinae
Crematogaster	Myrmicinae
Cyphomyrmex	Myrmicinae
Daceton	Myrmicinae
Dolichoderus	Dolichoderinae
Dorylus	Dorylinae
Eciton	Dorylinae
Formica	Formicinae
Iridomyrmex	Dolichoderinae
Labidus	Dorylinae
Lasius	Formicinae
Liometopum	Dolichoderinae
Megalomyrmex	Myrmicinae
Mycetomoellerius	Myrmicinae
Mycocepurus	Myrmicinae
Myrmica	Myrmicinae
Neivamyrmex	Dorylinae
Nomamyrmex	Dorylinae
Odontomachus	Ponerinae
Oecophylla	Formicinae
Paraponera	Paraponerinae
Pheidole	Myrmicinae
Polyrhachis	Formicinae
Procryptocerus	Myrmicinae
Pseudomyrmex	Pseudomyrmecinae
Sericomyrmex	Myrmicinae
Solenopsis	Myrmicinae
Tapinoma	Dolichoderinae
Temnothorax	Myrmicinae
Tetraponera	Pseudomyrmecinae
Trachymyrmex	Myrmicinae
Gigantiops	Formicinae
Anochetus	Ponerinae
Neoponera	Ponerinae
Nylanderia	Myrmicinae
Ectatomma	Ectatomminae
